index,lat,lon,unk_u16,speed_raw
418,41.567788,44.947821,800,100
419,41.567769,44.947825,800,100
420,41.56775,44.947829,800,100
421,41.567732,44.947833,800,100
422,41.567713,44.947838,800,100
423,41.567695,44.947843,800,100
424,41.567676,44.947849,800,100
425,41.567658,44.947855,800,100
426,41.56764,44.947861,800,100
427,41.567622,44.947869,800,100
428,41.567603,44.947876,800,100
429,41.567585,44.947884,800,100
430,41.567568,44.947892,800,100
431,41.56755,44.947901,800,100
432,41.567532,44.94791,800,100
433,41.567515,44.947919,800,100
434,41.567497,44.947929,800,100
435,41.56748,44.94794,800,100
436,41.567463,44.947951,800,100
437,41.567446,44.947962,800,100
438,41.56743,44.947974,800,100
439,41.567413,44.947987,800,100
440,41.567397,44.948001,800,100
441,41.567382,44.948015,800,100
442,41.567367,44.948031,800,100
443,41.567353,44.948047,800,100
444,41.567339,44.948064,800,100
445,41.567325,44.948082,800,100
446,41.567313,44.948102,800,100
447,41.567301,44.948121,800,100
448,41.567291,44.948142,800,100
449,41.56728,44.948163,800,100
450,41.567271,44.948185,800,100
451,41.567263,44.948208,800,100
452,41.567256,44.948231,800,100
453,41.567251,44.948256,800,100
454,41.567248,44.94828,800,100
455,41.567246,44.948305,800,100
456,41.567246,44.948331,800,100
457,41.567249,44.948355,800,100
458,41.567255,44.948379,800,100
459,41.567264,44.948401,800,100
460,41.567276,44.948421,800,100
461,41.567289,44.948439,800,100
462,41.567304,44.948454,800,100
463,41.567321,44.948465,800,100
464,41.567339,44.948474,800,100
465,41.567357,44.948478,800,100
466,41.567376,44.94848,800,100
467,41.567395,44.948477,800,100
468,41.567414,44.948472,800,100
469,41.567431,44.948464,800,100
470,41.567448,44.948453,800,100
471,41.567465,44.94844,800,100
472,41.56748,44.948426,800,100
473,41.567495,44.948411,800,100
474,41.56751,44.948395,800,100
475,41.567525,44.948379,800,100
476,41.567539,44.948362,800,100
477,41.567553,44.948345,800,100
478,41.567567,44.948328,800,100
479,41.56758,44.94831,800,100
480,41.567594,44.948293,800,100
481,41.567608,44.948275,800,100
482,41.567622,44.948258,800,100
483,41.567636,44.948242,800,100
484,41.56765,44.948226,800,100
485,41.567665,44.94821,800,100
486,41.567681,44.948196,800,100
487,41.567697,44.948182,800,100
488,41.567713,44.94817,800,100
489,41.567731,44.94816,800,100
490,41.567748,44.948151,800,100
491,41.567767,44.948145,800,100
492,41.567785,44.948141,800,100
493,41.567804,44.948139,800,100
494,41.567823,44.948141,800,100
495,41.567842,44.948145,800,100
496,41.56786,44.948152,800,100
497,41.567878,44.948161,800,100
498,41.567894,44.948173,800,100
499,41.56791,44.948188,800,100
500,41.567923,44.948205,800,100
